model,SIPS,AS,AC
Qwen-72B (AllSides),0.5790677742100611,0.5714502779257267,0.6927321967866332
Mistral-24B (AllSides),0.5521395465297485,0.5482165209920837,0.6496089272537158
Phi-4 (AllSides),0.46875253357656954,0.5133376657308246,0.5948020221486713
Llama-3.3-70B (AllSides),0.3884994647364674,0.4233932624136845,0.5680966753713237
Gemma-2-27B (AllSides),0.588701076315413,0.589362238775497,0.6837734434317998
Qwen-72B (Hyperpartisan),0.4877543795600871,0.4905824290638472,0.6423300564492892
Mistral-24B (Hyperpartisan),0.5149726043714423,0.5093714162086044,0.6378443110470879
Phi-4 (Hyperpartisan),0.25677628160735483,0.3222014474007738,0.5160658221243979
Llama-3.3-70B (Hyperpartisan),0.32643682252501405,0.37139374459292857,0.5482651448996623
Gemma-2-27B (Hyperpartisan),0.47404886136680857,0.4692103917026065,0.6371632641115488
Qwen-32B,0.41341887719664444,0.3669098974662086,0.6289947696495976
Qwen-14B,0.41024118328916703,0.40397622399657585,0.600362108867866
Qwen-7B,0.3626777609240357,0.3639415697780916,0.5767008868867703
Qwen-3B,0.056988059201514514,0.06871538117242655,0.4596975301060571
Qwen-1.5B,0.2988326969376347,0.3805448693466353,0.4876657579406168
Qwen-0.5B,0.2902980089743804,0.3845754516585427,0.5071737079661478
Llama-3.1-70B,0.481030682105187,0.4596070794613513,0.6437589111149391
Llama-3.1-8B,0.39615137970824854,0.4471841224241417,0.5262400532952513
Llama-3-70B,0.41203512329797626,0.4764245703738179,0.5690798870863676
Llama-3-8B,0.3652463923029402,0.36351357634313686,0.5770346812695704
